Datetime,BTC-USD,ETH-USD
2022-10-18 12:17:00+00:00,19599.3359375,1328.290283203125
2022-10-18 12:19:00+00:00,19600.416015625,1328.0147705078125
2022-10-18 12:20:00+00:00,19598.203125,1327.78564453125
2022-10-18 12:22:00+00:00,19596.359375,1327.765869140625
2022-10-18 12:23:00+00:00,19593.966796875,1327.78125
2022-10-18 12:24:00+00:00,19592.23828125,1327.7679443359375
2022-10-18 12:25:00+00:00,19591.1953125,1327.7396240234375
2022-10-18 12:26:00+00:00,19585.53515625,1327.781005859375
2022-10-18 12:27:00+00:00,19586.8671875,1327.9365234375
2022-10-18 12:28:00+00:00,19589.994140625,1328.309814453125
2022-10-18 12:29:00+00:00,19591.865234375,1328.8203125
2022-10-18 12:31:00+00:00,19593.62109375,1329.17138671875
2022-10-18 12:32:00+00:00,19600.4296875,1329.99169921875
2022-10-18 12:34:00+00:00,19608.419921875,1330.9305419921875
2022-10-18 12:35:00+00:00,19610.55078125,1331.1307373046875
2022-10-18 12:37:00+00:00,19607.7109375,1330.94921875
2022-10-18 12:38:00+00:00,19606.103515625,1330.8753662109375
2022-10-18 12:40:00+00:00,19614.423828125,1331.6290283203125
2022-10-18 12:41:00+00:00,19614.927734375,1331.7994384765625
2022-10-18 12:43:00+00:00,19615.65234375,1331.93212890625
2022-10-18 12:44:00+00:00,19617.5078125,1332.0550537109375
2022-10-18 12:45:00+00:00,19616.13671875,1331.896484375
2022-10-18 12:46:00+00:00,19612.060546875,1331.7158203125
2022-10-18 12:47:00+00:00,19611.771484375,1331.781982421875
2022-10-18 12:49:00+00:00,19608.158203125,1331.4539794921875
2022-10-18 12:50:00+00:00,19599.833984375,1330.55908203125
2022-10-18 12:52:00+00:00,19600.501953125,1330.53662109375
2022-10-18 12:53:00+00:00,19607.27734375,1330.6259765625
2022-10-18 12:54:00+00:00,19607.1484375,1330.6893310546875
2022-10-18 12:55:00+00:00,19614.2578125,1331.0115966796875
2022-10-18 12:56:00+00:00,19618.248046875,1331.1258544921875
2022-10-18 12:57:00+00:00,19620.19140625,1331.18310546875
2022-10-18 12:58:00+00:00,19621.8515625,1331.1956787109375
2022-10-18 12:59:00+00:00,19626.939453125,1331.4085693359375
2022-10-18 13:01:00+00:00,19626.72265625,1331.4217529296875
2022-10-18 13:02:00+00:00,19628.716796875,1331.359375
2022-10-18 13:03:00+00:00,19628.076171875,1331.31201171875
2022-10-18 13:04:00+00:00,19629.076171875,1331.113525390625
2022-10-18 13:05:00+00:00,19625.302734375,1330.8370361328125
2022-10-18 13:06:00+00:00,19624.2109375,1330.8150634765625
2022-10-18 13:07:00+00:00,19618.85546875,1330.5286865234375
2022-10-18 13:08:00+00:00,19617.099609375,1330.425048828125
2022-10-18 13:10:00+00:00,19617.623046875,1330.2215576171875
2022-10-18 13:11:00+00:00,19617.19140625,1330.0859375
2022-10-18 13:12:00+00:00,19617.359375,1330.126220703125
2022-10-18 13:13:00+00:00,19618.142578125,1330.0760498046875
2022-10-18 13:14:00+00:00,19618.5390625,1329.9737548828125
2022-10-18 13:16:00+00:00,19610.396484375,1329.5234375
2022-10-18 13:17:00+00:00,19602.32421875,1328.993896484375
2022-10-18 13:19:00+00:00,19605.677734375,1329.2288818359375
2022-10-18 13:20:00+00:00,19606.146484375,1329.2568359375
2022-10-18 13:21:00+00:00,19605.66015625,1329.2403564453125
2022-10-18 13:22:00+00:00,19607.154296875,1329.4093017578125
2022-10-18 13:23:00+00:00,19611.228515625,1329.7349853515625
2022-10-18 13:24:00+00:00,19613.6015625,1330.0155029296875
2022-10-18 13:25:00+00:00,19613.6015625,1330.053466796875
2022-10-18 13:26:00+00:00,19624.240234375,1330.9140625
2022-10-18 13:28:00+00:00,19631.787109375,1331.5506591796875
2022-10-18 13:29:00+00:00,19642.365234375,1332.1181640625
2022-10-18 13:30:00+00:00,19641.595703125,1331.932373046875
2022-10-18 13:31:00+00:00,19649.80859375,1332.0155029296875
2022-10-18 13:32:00+00:00,19654.05078125,1332.49169921875
2022-10-18 13:34:00+00:00,19653.861328125,1332.4393310546875
2022-10-18 13:35:00+00:00,19655.748046875,1332.3167724609375
2022-10-18 13:37:00+00:00,19646.8359375,1331.30615234375
2022-10-18 13:38:00+00:00,19632.837890625,1330.2613525390625
2022-10-18 13:40:00+00:00,19623.125,1328.8133544921875
2022-10-18 13:41:00+00:00,19611.8203125,1327.7164306640625
2022-10-18 13:43:00+00:00,19604.326171875,1326.763916015625
2022-10-18 13:44:00+00:00,19584.638671875,1325.9288330078125
2022-10-18 13:45:00+00:00,19590.904296875,1326.4114990234375
2022-10-18 13:46:00+00:00,19595.587890625,1327.266845703125
2022-10-18 13:47:00+00:00,19586.458984375,1326.65625
2022-10-18 13:48:00+00:00,19588.794921875,1326.814697265625
2022-10-18 13:49:00+00:00,19583.208984375,1326.1046142578125
2022-10-18 13:50:00+00:00,19586.509765625,1326.377197265625
2022-10-18 13:51:00+00:00,19589.865234375,1326.572998046875
2022-10-18 13:52:00+00:00,19592.00390625,1326.837646484375
2022-10-18 13:53:00+00:00,19595.419921875,1326.7838134765625
2022-10-18 13:55:00+00:00,19591.076171875,1326.1650390625
2022-10-18 13:56:00+00:00,19569.048828125,1324.2900390625
2022-10-18 13:57:00+00:00,19571.328125,1324.541015625
2022-10-18 13:58:00+00:00,19563.955078125,1324.049560546875
